what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1364303573464
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1364303665120
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1364303716876
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1364303716936
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1364303734392
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1364303734507
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364304154018
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1364304154049
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364304226060
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364304230034
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364304233243
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1364304268639
opened,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.callhierarchy.view,1364304270569
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.callhierarchy.view,1364304270599
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy,1364304270652
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1364304287591
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1364304288320
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1364304288389
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364304336739
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364304345893
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364304346241
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364382975478
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364382978434
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364382996777
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1364382997129
